Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_Passengers_Est,Fatal_Injury_Rate,Serious_Injury_Rate,Severe_Injury_Rate,Is_Destroyed,Make_Model
20060223X00223,Accident,NYC06CA057,2006-01-22,"NEW HAVEN, CT",United States,41.263889,-41.263889,HVN,Tweed-New Haven Airport,Non-Fatal,Substantial,Airplane,N9284A,PIPER,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-05-2006,1.0,0.0,0.0,0.0,False,PIPER_PA-28-161
20060131X00136,Accident,MIA06CA047,2006-01-24,"LANTANA, FL",United States,26.593055,-80.085,LNA,Palm Beach County Park,Non-Fatal,Substantial,Airplane,N89723,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-04-2006,1.0,0.0,0.0,0.0,False,CESSNA_152
20060210X00191,Accident,NYC06CA065,2006-01-29,"PEMBROKE, MA",United States,42.068334,-70.798055,MA63,Sherman Airport,Non-Fatal,Substantial,Airplane,N7574N,CESSNA,A185F,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,25-04-2006,2.0,0.0,0.0,0.0,False,CESSNA_A185F
20060310X00283,Accident,LAX06CA097,2006-01-29,"MARICOPA, AZ",United States,33.076667,-111.983333,3AZ2,U of A Maricopa AG Center,Non-Fatal,Substantial,Airplane,N62712,PIPER,PA-18-150,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,False,PIPER_PA-18-150
20060207X00172,Accident,DFW06CA063,2006-01-30,"GAIL, TX",United States,32.913889,-101.495555,SWW,Avenger Field Airport,Non-Fatal,Substantial,Airplane,N744,PIPER,PA-18-150,No,1.0,Reciprocating,Part 91: General Aviation,Public Aircraft,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,25-04-2006,2.0,0.0,0.0,0.0,False,PIPER_PA-18-150
20060322X00327,Accident,ATL06CA043,2006-02-01,"BIRMINGHAM, AL",United States,33.562778,-86.753333,KBHM,Birmingham International,Non-Fatal,Substantial,Airplane,N902NS,CESSNA,172P,No,1.0,Reciprocating,Part 91: General Aviation,Positioning,,0.0,0.0,0.0,1.0,VMC,Go-Around,Probable Cause,30-05-2006,1.0,0.0,0.0,0.0,False,CESSNA_172P
20060310X00285,Accident,LAX06CA102,2006-02-04,"Black Canyon, AZ",United States,34.15,-111.716667,NONE,Black Canyon,Non-Fatal,Destroyed,Airplane,N5421B,CESSNA,182,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,True,CESSNA_182
20060223X00217,Accident,CHI06CA083,2006-02-12,"NEW HUDSON, MI",United States,42.505278,-83.628334,,,Non-Fatal,Substantial,Airplane,N222UN,CESSNA,172N,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-05-2006,1.0,0.0,0.0,0.0,False,CESSNA_172N
20060314X00299,Accident,LAX06CA115,2006-02-14,"MURRIETA, CA",United States,33.574167,-117.128334,F70,French Valley Airport,Non-Fatal,Substantial,Airplane,N80859,CESSNA,172M,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,30-05-2006,1.0,0.0,0.0,0.0,False,CESSNA_172M
20060308X00277,Accident,NYC06CA069,2006-02-15,"AUGUSTA, ME",United States,44.320556,-69.797222,AUG,Augusta State Airport,Non-Fatal,Substantial,Airplane,N47105,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-05-2006,1.0,0.0,0.0,0.0,False,CESSNA_152
